year,title,genre,avg_vote,movie_category,duration,length_category
1913,Quo Vadis?,"Drama, History",6.2,Average,120,No Data
1913,Atlantis,Drama,6.7,Average,121,No Data
1913,Fantômas - À l'ombre de la guillotine,"Crime, Drama",7.0,Excellent,54,Short Film
1913,Ingeborg Holm,Drama,7.1,Excellent,96,Avg. Length Film
1913,Juve contre Fantômas,"Crime, Drama",7.0,Excellent,61,Avg. Length Film
1913,Le mort qui tue,"Crime, Drama, Mystery",7.0,Excellent,90,Avg. Length Film
1913,Der Student von Prag,"Drama, Fantasy, Horror",6.5,Average,85,Avg. Length Film
1913,Traffic in Souls,"Crime, Drama",6.1,Average,88,Avg. Length Film
1913,Gli ultimi giorni di Pompei,"Adventure, Drama",6.2,Average,88,Avg. Length Film
1913,L'enfant de Paris,"Crime, Drama",7.6,Excellent,100,Avg. Length Film
1913,Le avventure straordinarissime di Saturnino Farando,Adventure,6.4,Average,77,Avg. Length Film
1913,A Message from Mars,"Comedy, Fantasy, Sci-Fi",5.1,Average,69,Avg. Length Film
1913,Sumerki zhenskoy dushi,Drama,6.7,Average,48,Short Film
