year,title,genre,avg_vote,movie_category,duration,length_category
2000,The Fantasticks,"Musical, Romance",5.6,Average,86,Avg. Length Film
2000,For the Cause,"Action, Adventure, Drama",3.4,Average,100,Avg. Length Film
2000,Gang,"Action, Crime, Drama",6.3,Average,152,No Data
2000,Karobaar: The Business of Love,"Drama, Romance",4.5,Average,180,No Data
2000,Faa yeung nin wa,"Drama, Romance",8.1,Excellent,98,Avg. Length Film
2000,Beyond the Pale,Drama,6.2,Average,96,Avg. Length Film
2000,Chinese Coffee,Drama,7.2,Excellent,99,Avg. Length Film
2000,Heavy Metal 2000,"Animation, Action, Adventu",5.4,Average,88,Avg. Length Film
2000,Love 101,"Comedy, Drama, Romance",4.8,Average,86,Avg. Length Film
2000,Shikari,"Drama, Thriller",4.6,Average,160,No Data
2000,State and Main,"Comedy, Drama",6.7,Average,105,Avg. Length Film
2000,Sånger från andra våningen,"Comedy, Drama",7.6,Excellent,98,Avg. Length Film
2000,Vulgar,"Crime, Drama, Thriller",5.3,Average,87,Avg. Length Film
2000,Capitães de Abril,"Drama, History, War",7.1,Excellent,123,No Data
2000,Chicken Run,"Animation, Adventure, Come",7.0,Excellent,84,Avg. Length Film
2000,The Highwayman,"Comedy, Drama, Thriller",4.5,Average,94,Avg. Length Film
2000,Lion of Oz,"Family, Animation, Musical",5.6,Average,74,Avg. Length Film
2000,The Million Dollar Hotel,"Drama, Mystery, Thriller",5.9,Average,122,No Data
2000,Mission: Impossible II,"Action, Adventure, Thrille",6.1,Average,123,No Data
2000,X-Men,"Action, Adventure, Sci-Fi",7.4,Excellent,104,Avg. Length Film
2000,Titan A.E.,"Animation, Action, Adventu",6.6,Average,94,Avg. Length Film
2000,The Emperor's New Groove,"Animation, Adventure, Come",7.3,Excellent,78,Avg. Length Film
2000,Lured Innocence,"Drama, Thriller",4.7,Average,99,Avg. Length Film
2000,Return to Me,"Comedy, Drama, Romance",6.9,Average,115,Avg. Length Film
2000,Bruno,"Comedy, Drama",6.1,Average,108,Avg. Length Film
2000,The Elf Who Didn't Believe,"Comedy, Family",3.5,Average,90,Avg. Length Film
2000,Waking the Dead,"Drama, Mystery, Romance",6.5,Average,105,Avg. Length Film
2000,Dinosaur,"Animation, Adventure, Fami",6.5,Average,82,Avg. Length Film
2000,The Adventures of Rocky & Bullwinkle,"Animation, Adventure, Come",4.1,Average,92,Avg. Length Film
2000,BlackMale,Thriller,4.6,Average,90,Avg. Length Film
2000,The Crow: Salvation,"Action, Crime, Fantasy",4.9,Average,102,Avg. Length Film
2000,Scream 3,"Horror, Mystery",5.5,Average,116,Avg. Length Film
2000,Duets,"Comedy, Drama, Music",6.1,Average,112,Avg. Length Film
2000,Pitch Black,"Horror, Sci-Fi",7.1,Excellent,109,Avg. Length Film
2000,Supernova,"Horror, Sci-Fi, Thriller",4.9,Average,90,Avg. Length Film
